Stethoscope	ECG
-0.0427246	-0.00610352
-0.0280762	-0.010376
0.0109863	-0.0143433
0.0445557	-0.0186157
0.0366211	-0.0250244
0.00183105	-0.0317383
-0.0219727	-0.0335693
-0.0161743	-0.0323486
-0.0158691	-0.0302124
-0.0296021	-0.0253296
-0.0424194	-0.0161743
-0.0378418	-0.00244141
-0.0234985	0.010376
-0.00854492	0.0149536
-0.000915527	0.0115967
0.000915527	0.00854492
-0.00549316	0.0119019
-0.0146484	0.017395
-0.0338745	0.0195313
-0.0637817	0.0137329
-0.0939941	0.00274658
-0.0979614	-0.00793457
-0.0595093	-0.0146484
0.00640869	-0.015564
0.0552368	-0.0152588
0.0585938	-0.0192261
0.0402832	-0.0253296
0.0445557	-0.0299072
0.0631714	-0.0286865
0.057373	-0.0231934
0.0296021	-0.0152588
0.0119019	-0.00549316
0.0112915	0.00335693
0.0088501	0.0112915
0.00854492	0.0195313
0.0100708	0.0280762
0.0134277	0.0335693
0.0125122	0.03479
0.0201416	0.0338745
0.0308228	0.0308228
0.0326538	0.0247192
0.0253296	0.017395
0.017395	0.0119019
0.0167847	0.00915527
0.0128174	0.00823975
0	0.00640869
-0.0137329	0.00457764
-0.0314331	0
-0.0460815	-0.00854492
-0.0469971	-0.0183105
-0.0411987	-0.0289917
-0.0292969	-0.0424194
-0.00732422	-0.0579834
0.0177002	-0.0732422
0.0231934	-0.0875854
0.00610352	-0.100403
-0.000915527	-0.102539
0.00793457	-0.0946045
0.0177002	-0.0839233
0.0311279	-0.0708008
0.0491333	-0.0543213
0.06073	-0.0332642
0.0485229	-0.0100708
0.00701904	0.0088501
-0.0213623	0.022583
-0.0378418	0.0323486
-0.0854492	0.0402832
-0.180054	0.0436401
-0.257874	0.0366211
-0.23468	0.0204468
-0.12207	0.00640869
-0.00457764	0.000915527
0.0524902	-0.0012207
0.0631714	-0.00549316
0.0640869	-0.00793457
0.0692749	-0.00427246
0.0708008	0.00610352
0.0671387	0.0201416
0.0759888	0.0341797
0.0930786	0.043335
0.0915527	0.0463867
0.0762939	0.0454712
0.0796509	0.0418091
0.0909424	0.03479
0.0820923	0.0234985
0.0497437	0.00793457
0.012207	-0.00854492
-0.0106812	-0.0210571
-0.0332642	-0.0271606
-0.0527954	-0.0296021
-0.0531006	-0.0305176
-0.0314331	-0.0305176
-0.0164795	-0.0311279
-0.00854492	-0.0283813
0.0109863	-0.0210571
0.0308228	-0.0140381
0.0360107	-0.0109863
0.0588989	-0.0115967
0.545959	-0.0131226
0.557251	-0.0125122
-0.324097	-0.00946045
-1.32416	-0.00488281
-1.43707	0
-0.531616	0.000610352
0.452881	-0.00183105
0.898132	-0.00427246
0.820618	-0.00274658
0.558472	0.00305176
0.295715	0.00793457
0.0494385	0.0128174
-0.169983	0.0164795
-0.305786	0.0183105
-0.326843	0.0195313
-0.255127	0.0250244
-0.151062	0.0360107
-0.0286865	0.0512695
0.110779	0.0668335
0.175171	0.0820923
0.106506	0.0961304
0.0216675	0.106201
-0.114441	0.115051
-0.245361	0.12207
-0.30304	0.126953
-0.20752	0.128479
0.0140381	0.125732
0.227966	0.116272
0.35553	0.101624
0.354309	0.0845337
0.280762	0.0662231
0.181274	0.0473022
0.0668335	0.0280762
-0.0640869	0.0088501
-0.168457	-0.0088501
-0.196228	-0.0201416
-0.148621	-0.022583
-0.0762939	-0.0189209
-0.0238037	-0.0106812
-0.00152588	-0.00366211
0.00183105	-0.00366211
0.0115967	-0.0100708
0.0216675	-0.0180054
0.00427246	-0.0231934
-0.0241089	-0.0308228
-0.0219727	-0.039978
0.0244141	-0.0494385
0.065918	-0.06073
0.0588989	-0.0741577
0.00793457	-0.088501
-0.0506592	-0.0973511
-0.0704956	-0.0891113
-0.050354	-0.0708008
-0.015564	-0.0552368
0.00152588	-0.045166
-0.00976563	-0.038147
-0.0378418	-0.0302124
-0.0668335	-0.0186157
-0.0778198	-0.0100708
-0.0631714	-0.0112915
-0.0302124	-0.0170898
0.000915527	-0.0201416
0.0088501	-0.0222778
0.0158691	-0.0253296
0.0457764	-0.0274658
0.0695801	-0.0268555
0.0442505	-0.0268555
-0.0158691	-0.0271606
-0.0500488	-0.0253296
-0.0299072	-0.0219727
0.0320435	-0.0195313
0.109863	-0.0204468
0.167847	-0.0256348
0.177612	-0.0326538
0.14801	-0.0390625
0.110474	-0.0454712
0.0769043	-0.0518799
0.0463867	-0.055542
0.0756836	-0.0534058
0.301819	-0.045166
0.144958	-0.0311279
-0.397339	-0.00762939
-0.890808	0.0292969
-0.835876	0.0784302
-0.301819	0.137024
0.211792	0.206909
0.443115	0.282593
0.459595	0.359497
0.400085	0.436096
0.298462	0.513
0.12146	0.585632
-0.0747681	0.639954
-0.220947	0.663757
-0.276489	0.656128
-0.266724	0.618591
-0.210266	0.554504
-0.117798	0.465393
-0.0143433	0.357361
0.0701904	0.241699
0.131226	0.128479
0.159302	0.0219727
0.141296	-0.0726318
0.078125	-0.148315
