L I	L III	L II(Calc.)
-0.0570679	-0.0119019	-0.0689697
-0.0537109	-0.0167847	-0.0704956
-0.0497437	-0.0192261	-0.0689697
-0.0460815	-0.0192261	-0.0653076
-0.0405884	-0.0198364	-0.0604248
-0.0363159	-0.0195313	-0.0558472
-0.03479	-0.017395	-0.0521851
-0.0341797	-0.0149536	-0.0491333
-0.0332642	-0.0134277	-0.0466919
-0.032959	-0.0119019	-0.0448608
-0.0335693	-0.0100708	-0.0436401
-0.0354004	-0.00854492	-0.0439453
-0.0378418	-0.00732422	-0.045166
-0.0408936	-0.00671387	-0.0476074
-0.0436401	-0.00610352	-0.0497437
-0.0454712	-0.00549316	-0.0509644
-0.0460815	-0.00640869	-0.0524902
-0.045166	-0.00762939	-0.0527954
-0.045166	-0.00762939	-0.0527954
-0.0460815	-0.00671387	-0.0527954
-0.0485229	-0.00457764	-0.0531006
-0.0515747	-0.00183105	-0.0534058
-0.0527954	-0.000915527	-0.0537109
-0.0518799	-0.00274658	-0.0546265
-0.0500488	-0.00549316	-0.055542
-0.0488281	-0.00793457	-0.0567627
-0.0473022	-0.0106812	-0.0579834
-0.0476074	-0.0112915	-0.0588989
-0.0500488	-0.00915527	-0.0592041
-0.0518799	-0.00701904	-0.0588989
-0.0527954	-0.00610352	-0.0588989
-0.0549316	-0.00457764	-0.0595093
-0.057373	-0.00274658	-0.0601196
-0.0601196	-0.00183105	-0.0619507
-0.065918	0.00213623	-0.0637817
-0.0717163	0.00640869	-0.0653076
-0.0720215	0.00579834	-0.0662231
-0.0680542	0.000305176	-0.067749
-0.062561	-0.00793457	-0.0704956
-0.0564575	-0.0164795	-0.072937
-0.0482178	-0.0247192	-0.072937
-0.0402832	-0.0317383	-0.0720215
-0.0338745	-0.0369263	-0.0708008
-0.0296021	-0.0408936	-0.0704956
-0.0262451	-0.0445557	-0.0708008
-0.0241089	-0.0479126	-0.0720215
-0.0256348	-0.0473022	-0.072937
-0.0305176	-0.0430298	-0.0735474
-0.0369263	-0.0372314	-0.0741577
-0.0448608	-0.0317383	-0.0765991
-0.0521851	-0.0286865	-0.0808716
-0.055542	-0.0283813	-0.0839233
-0.0534058	-0.0308228	-0.0842285
-0.050354	-0.0323486	-0.0827026
-0.0485229	-0.0320435	-0.0805664
-0.0466919	-0.0314331	-0.078125
-0.045166	-0.0317383	-0.0769043
-0.0427246	-0.0335693	-0.0762939
-0.0393677	-0.0357056	-0.0750732
-0.0350952	-0.0375366	-0.0726318
-0.0326538	-0.0384521	-0.071106
-0.0323486	-0.039978	-0.0723267
-0.032959	-0.0424194	-0.0753784
-0.0338745	-0.0460815	-0.0799561
-0.0360107	-0.0485229	-0.0845337
-0.0402832	-0.0482178	-0.088501
-0.045166	-0.0454712	-0.0906372
-0.0479126	-0.0439453	-0.0918579
-0.0482178	-0.0445557	-0.0927734
-0.0488281	-0.045166	-0.0939941
-0.0521851	-0.0430298	-0.0952148
-0.057373	-0.0390625	-0.0964355
-0.0619507	-0.0341797	-0.0961304
-0.0631714	-0.0311279	-0.0942993
-0.0616455	-0.0308228	-0.0924683
-0.0592041	-0.032959	-0.0921631
-0.0549316	-0.0372314	-0.0921631
-0.0506592	-0.0415039	-0.0921631
-0.0482178	-0.0439453	-0.0921631
-0.0463867	-0.0457764	-0.0921631
-0.0457764	-0.0463867	-0.0921631
-0.0518799	-0.0405884	-0.0924683
-0.0616455	-0.0314331	-0.0930786
-0.0680542	-0.0259399	-0.0939941
-0.0714111	-0.0234985	-0.0949097
